"","id","mean.id","sd.id"
"1",0,3.18936865762216,2.89312691556662
"2",1,3.88070085470085,2.83115574750617
"3",2,4.46081123919308,3.0517447879543
"4",3,4.32761316872428,3.0983581306785
"5",4,4.21495632911392,2.90119271601287
"6",5,4.21007213930348,2.95949521834407
"7",6,4.10213157894737,2.2875051835984
"8",7,3.82005882352941,2.55477057668194
"9",8,4.78135416666667,3.03170838773369
"10",9,3.64564363636364,2.50787070025227
"11",10,0.624364864864865,0.363709219817499
"12",11,1.93264559819413,1.68622271610939
"13",12,1.14901354166667,0.503388294956193
"14",13,1.20636956521739,0.575507249059303
"15",14,1.10520833333333,0.507741374627646
"16",15,1.09868674698795,0.551533404063458
"17",16,1.25525,0.534137182436326
"18",17,1.12237332254585,0.565957956157269
"19",18,1.14809523809524,0.526555380879996
"20",19,1.02122662889518,0.491158758209767
"21",20,3.62506451612903,2.1708396103098
"22",21,3.18206103286385,2.47737420784144
"23",22,2.9806962962963,1.80370112142615
"24",23,0.831050505050505,0.582375516641409
"25",24,1.49018418079096,0.957105650595091
"26",25,1.55075268817204,0.911383275764359
"27",26,1.80635494880546,0.948447344478844
"28",27,3.04187278106509,2.55874655511682
"29",28,0.537098121085595,0.340344602588474
"30",29,2.77213291139241,2.07278409755
"31",30,1.12722210300429,0.675108858266471
"32",31,1.04835390946502,0.633164989047735
"33",32,2.61993668831169,1.81493940705183
"34",33,2.27127931769723,1.59371939884105
"35",34,1.47714303030303,0.848739729074982
"36",35,1.34380157170923,0.928299869415363
"37",36,1.34528112449799,0.817850166383219
"38",37,1.59690618762475,0.886394612563522
"39",38,2.37297556008147,1.91621839202427
"40",39,1.21027656675749,0.769282354450536
"41",40,1.00095238095238,0.818745044332512
"42",41,1.17580176211454,0.820219682636604
"43",42,0.715483333333333,0.302477593604499
"44",43,0.793783783783784,0.295461898443881
"45",44,0.755674911660777,0.330080444159557
"46",45,1.01087028301887,0.59859048755072
"47",46,3.24803370786517,2.52059935355137
"48",47,3.26417777777778,2.83652030055502
"49",48,4.30159677419355,4.43918352210632
"50",49,4.09603382663848,3.47323236028262
"51",50,4.55164705882353,3.61906563154998
"52",51,5.22094300518135,3.84890638713687
"53",52,4.62562438423645,3.67064163570917
"54",53,2.46098830409357,1.57402285841314
"55",54,4.10475342465753,2.68881395588844
"56",55,3.58731905913978,1.96274528501441
"57",56,3.01245560747664,1.9169063809428
"58",57,3.18219469026549,1.96982712944133
"59",58,2.67194884910486,1.51893747358439
"60",59,3.00929213483146,1.85844959723314
"61",60,3.8163125,2.53007910950143
"62",61,4.47574193548387,2.49569992482839
"63",62,4.037,2.70225055696899
"64",63,3.1438982630273,1.97217140149824
"65",64,4.28505364806867,2.82450684674359
"66",65,2.72590909090909,1.0806422268159
"67",66,4.79918449197861,2.95024047925631
"68",67,3.85491513761468,2.60751888582005
"69",68,4.1535,2.65504092671694
"70",69,2.8716,2.89979338672849
"71",70,1.78434677419355,2.27923637563237
"72",71,0.587867777777778,0.379832142468055
"73",72,1.01669261083744,1.27791548927268
"74",73,3.89619608333333,3.0403022641708
"75",74,3.2186038961039,2.79605585569823
"76",75,3.23191153846154,2.80728256465443
"77",76,3.03726753246753,2.89050508555065
"78",77,2.91186956521739,2.70153239520756
"79",78,3.76881454545455,3.39752145250411
"80",79,2.80225757575758,1.85557867199357
"81",80,3.91382450331126,3.2260617288063
"82",81,3.90897,3.23209111237398
"83",82,3.96908333333333,2.8553768731499
"84",83,4.71046785714286,3.51948951154883
"85",84,3.73123668639053,3.27797652317756
"86",85,2.65841666666667,2.1512295510318
"87",86,3.94821645021645,3.07981030290091
"88",87,3.52970320855615,2.92039055196764
"89",88,3.37461538461538,2.95307495516515
"90",89,4.38266317016317,3.6008692315147
"91",90,2.71807142857143,1.99886676855701
"92",91,4.45391803278689,3.20245060083637
"93",92,3.17269387755102,1.7044486181275
"94",93,2.59706539440204,2.18245632422891
"95",94,2.30237825242718,1.71834728019062
"96",95,2.57488888888889,1.89413117945933
"97",96,2.97350481099656,2.55304103571967
"98",97,2.32048518518519,1.93721333854478
"99",98,2.66561684782609,1.85558263690476
"100",99,4.9125490605428,3.50156901848404
"101",100,3.14071153846154,1.65508534771325
"102",101,6.26671875,4.73137083886699
"103",102,4.36416551724138,2.74779772932847
"104",103,4.69319681093394,3.44296611729334
"105",104,4.96168571428571,3.39167437562011
"106",105,5.01654008438819,3.4186359672484
"107",106,3.27459459459459,1.61814386239989
"108",107,3.4,1.50783509266321
"109",108,4.682359030837,3.52269271269508
"110",109,4.57977578475336,2.90804188538589
"111",110,4.43439316239316,3.45685291508325
"112",111,4.33530395136778,2.95070938225902
"113",112,4.7609958677686,3.22196490459718
"114",113,3.05383094555874,1.88833522970083
"115",114,3.69109536423841,2.17948853816115
"116",115,4.93061016949153,4.28231404368708
"117",116,4.61944913151365,3.61084767691139
"118",117,4.0607849122807,3.033144657803
"119",118,5.1375,3.03664325740237
"120",119,5.50533333333333,4.04987259169329
"121",120,2.72037292576419,2.60487319817419
"122",121,2.8858192431562,2.44657853522053
"123",122,3.51879775280899,3.7157777681317
"124",123,2.11441260744986,1.9562255841703
"125",124,3.35318050541516,2.85212566735272
"126",125,2.93428909952607,2.73227531483065
"127",126,2.42487037037037,1.9853715916349
"128",127,2.34227336448598,2.01384999581868
"129",128,3.55598692307692,3.26670824204913
"130",129,3.95228301886792,3.8003816376039
"131",130,2.37354455445545,2.03443665187566
"132",131,2.26066169154229,2.29434684060085
"133",132,3.59597318007663,3.45917050128643
"134",133,3.59190286298568,3.25143341600633
"135",134,2.80847,2.39970566989396
"136",135,2.77731707317073,2.44969439358284
"137",136,4.1414677581864,3.75148104060899
"138",137,1.37,0.509116882454314
"139",138,2.08942975206612,1.61240117683149
"140",139,1.75176348547718,1.37360576816196
"141",140,2.07565847665848,1.6921593599099
"142",141,2.09997267759563,1.44206056948471
"143",142,4.22638277511962,2.51848205329695
"144",143,3.83502577319588,2.39307289270482
"145",144,3.82089985337243,2.45307629042636
"146",145,3.6708982300885,2.00184198139757
"147",146,2.18547169811321,1.12567548274484
"148",147,3.82039834437086,2.56217293653419
"149",148,2.61902530413625,2.03303745829672
"150",149,2.8247743902439,2.20295274331493
"151",150,3.95492861313869,3.27233874716504
"152",151,2.90666094420601,1.93768781760922
"153",152,3.40252030769231,2.83242496961402
"154",153,4.10405084745763,3.24169700625373
"155",154,3.88045223744292,3.0727842543612
"156",155,4.3603164556962,3.03367915136781
"157",156,0.638305369127517,0.334300411339233
"158",157,0.883191011235955,0.423738954707336
"159",158,0.816170579494799,0.534076772194253
